"Référence","Désignation","site dafy","site chaft","Prix H.T.","Prix T.T.C.","Réel","Réservé","Dispo","P","Cde four.","Casier","Fournisseur","Couleur","Marque","Taille","Réf Fournisseur","Code TVA","Condi.achat","Nomenclature.associée","Code barre","Remplacement","Année","Dernier achat","Dernière vente","Rayon","Sous-rayon","Catégorie","Prix achat bloqué","Prix vente bloqué","Sur internet"
"098450299901","CHAFT ADAPT LEV FR LEF07N","KO","https://www.chaft.fr/fr/nouveautes/1358-adaptateur-de-levier-de-frein-07-3701177272074.html?search_query=lef07n&results=1","150.00 Dh","180.00 Dh","000007","0.00","000007","","000000","","CHAFT","","CHAFT","","LEF07N","020.0 %","0.00","","3701177272074","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098450699901","CHAFT ADAPT LEV FR LEF14N","KO","https://www.chaft.fr/fr/nouveautes/1394-adaptateur-de-levier-de-frein-14-3701177272142.html?search_query=lef14n&results=1","150.00 Dh","180.00 Dh","000002","0.00","000002","","000000","","CHAFT","","CHAFT","","LEF14N","020.0 %","0.00","","3701177272142","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098451199901","CHAFT ADAPT LEV FR LEF19N","KO","https://www.chaft.fr/fr/nouveautes/1400-adaptateur-de-levier-de-frein-19-3701177272197.html?search_query=lef19n&results=1","150.00 Dh","180.00 Dh","000010","0.00","000010","","000000","","CHAFT","","CHAFT","","LEF19N","020.0 %","0.00","","3701177272197","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098451299901","CHAFT ADAPT LEV FR LEF20N","KO","https://www.chaft.fr/fr/nouveautes/1382-adaptateur-de-levier-de-frein-20-3701177272203.html?search_query=lef20n&results=1","150.00 Dh","180.00 Dh","000010","0.00","000010","","000000","","CHAFT","","CHAFT","","LEF20N","020.0 %","0.00","","3701177272203","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098451899901","CHAFT ADAPT LEV FR LEF26N","KO","https://www.chaft.fr/fr/nouveautes/1377-adaptateur-de-levier-de-frein-26-3701177272265.html?search_query=lef26n&results=1","150.00 Dh","180.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LEF26N","020.0 %","0.00","","3701177272265","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"280235299901","CHAFT BANDES THERM IN229","https://www.dafy-moto.com/bande-thermique-pot-dechappement-15m-chaft-noir.html","https://www.chaft.fr/fr/accessoires/574-bandes-thermiques-15m-3700355952296.html?search_query=BANDE+THERMIQUE&results=1#/11-couleur-noir","291.67 Dh","350.00 Dh","000006","0.00","000006","","000000","","CHAFT","","CHAFT","","IN229","020.0 %","0.00","","3700355952296","","","7/10/2021","","Moto","ECHAPPEMENTS","ECHAPPEMENTS DIV+ACC","Oui","Oui",""
"602020699901","CHAFT BANDES THERMIQ IN296","https://www.dafy-moto.com/bande-thermique-pot-dechappement-15m-chaft-titane.html","https://www.chaft.fr/fr/accessoires/574-bandes-thermiques-15m-3700355952296.html?search_query=BANDE+THERMIQUE&results=1#/53-couleur-titane","291.67 Dh","350.00 Dh","000006","0.00","000006","","000000","","CHAFT","","CHAFT","","IN296","020.0 %","0.00","","3700355952968","","","7/10/2021","","Moto","ENTRETIEN","OUTILLAGE","Oui","Oui",""
"096170200101","CHAFT BEQ ASTUCIEUSE IN1995","KO","https://www.chaft.fr/fr/atelier/1296-bequille-astucieuse-3701177239954.html?search_query=bequille+astucieuse&results=1","241.67 Dh","290.00 Dh","000015","0.00","000015","","000000","","CHAFT","","CHAFT","","IN1995","020.0 %","0.00","","3701177239954","","","7/10/2021","","Moto","ACCESSOIRES","BEQUILLES et ACCESS","Oui","Oui",""
"602031199901","CHAFT BLOQUE ROUE IN1998","https://www.dafy-moto.com/bloque-roues-chaft.html","https://www.chaft.fr/fr/atelier/1303-bloque-roue-3701177239985.html?search_query=in1998&results=1","925.00 Dh","1,110.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","IN1998","020.0 %","0.00","","3701177239985","","","7/10/2021","","Moto","ENTRETIEN","OUTILLAGE","Oui","Oui",""
"390175099901","CHAFT CEINT LOMBAIRE","KO","https://www.chaft.fr/fr/accessoires-protection/690-ceinture-lombaire-3700355921018.html","408.33 Dh","490.00 Dh","000005","0.00","000005","","000000","","CHAFT","NOIR","CHAFT","","BA101","020.0 %","0.00","","3700355921018","","","7/10/2021","","Pilote","ACCESSOIRES PILOTE","DIVERS ACCESSOIRES PILOTE","Oui","Oui",""
